data,date
-44.319,0.032
-45.006,0.04
-44.48,0.048
-41.986,0.056
-41.561,0.064
-42.891,0.072
-43.967,0.08
-44.526,0.088
-44.852,0.096
-44.375,0.104
-44,0.112
-43.917,0.12
-44.062,0.128
-44.409,0.136
-42.739,0.144
-40.692,0.152
-40.87,0.16
-42.844,0.168
-44.749,0.176
-45.542,0.184
-45.521,0.192
-43.886,0.2
-42.095,0.208
-40.964,0.216
-41.419,0.224
-44.417,0.232
-46.343,0.24
-43.855,0.248
-41.249,0.256
-38.785,0.264
-38.245,0.272
-39.863,0.28
-39.624,0.288
-38.855,0.296
-39.286,0.304
-38.938,0.312
-40.476,0.32
-43.812,0.328
-43.998,0.336
-42.75,0.344
-42.877,0.352
-44.576,0.36
-43.634,0.368
-42.16,0.376
-42.462,0.384
-42.062,0.392
-40.533,0.4
-40.15,0.408
-41.862,0.416
-44.241,0.424
-42.111,0.432
-35.816,0.44
-25.447,0.448
-19.499,0.456
-18.039,0.464
-19.481,0.472
-21.477,0.48
-22.955,0.488
-24.24,0.496
-26.685,0.504
-29.465,0.512
-29.898,0.52
-29.079,0.528
-29.596,0.536
-31.177,0.544
-32.494,0.552
-33.549,0.56
-35.325,0.568
-37.266,0.576
-38.567,0.584
-37.598,0.592
-37.379,0.6
-39.52,0.608
-41.524,0.616
-42.138,0.624
-43.348,0.632
-44.687,0.64
-45.984,0.648
-44.841,0.656
-36.781,0.664
-30.687,0.672
-29.136,0.68
-31.345,0.688
-34.811,0.696
-36.974,0.704
-38.678,0.712
-39.218,0.72
-38.702,0.728
-38.676,0.736
-39.498,0.744
-39.855,0.752
-38.742,0.76
-38.769,0.768
-39.853,0.776
-41.076,0.784
-41.994,0.792
-41.325,0.8
-41.504,0.808
-43.203,0.816
-44.578,0.824
-44.882,0.832
-44.662,0.84
-41.518,0.848
-38.44,0.856
-39.06,0.864
-42.777,0.872
-43.671,0.88
-42.687,0.888
-43.212,0.896
-44.347,0.904
-43.166,0.912
-41.269,0.92
-42.151,0.928
-43.255,0.936
-41.47,0.944
-40.911,0.952
-41.739,0.96
-42.153,0.968
-42.915,0.976
-44.821,0.984
-45.556,0.992
-45.904,1
-46.59,1.008
-44.943,1.016
-44.105,1.024
-45.302,1.032
-44.346,1.04
-43.023,1.048
-44.453,1.056
-45.472,1.064
-44.627,1.072
-43.664,1.08
-41.524,1.088
-40.674,1.096
-39.558,1.104
-39.115,1.112
-40.948,1.12
-41.025,1.128
-40.15,1.136
-41.488,1.144
-40.937,1.152
-37.67,1.16
-36.074,1.168
-37.532,1.176
-41.129,1.184
-42.29,1.192
-43.342,1.2
-45.64,1.208
-46.815,1.216
-48.502,1.224
-50.957,1.232
-51.617,1.24
-50,1.248
-48.5,1.256
-47.385,1.264
-46.825,1.272
-47.344,1.28
-48.968,1.288
-50.13,1.296
-48.968,1.304
-48.262,1.312
-48.199,1.32
-46.181,1.328
-44.471,1.336
-44.493,1.344
-46.3,1.352
-46.545,1.36
-43.734,1.368
-41.337,1.376
-41.674,1.384
-45.171,1.392
-50.444,1.4
-49.717,1.408
-44.886,1.416
-41.24,1.424
-40.695,1.432
-42.636,1.44
-44.535,1.448
-45.227,1.456
-45.403,1.464
-44.071,1.472
-43.232,1.48
-44.23,1.488
-43.742,1.496
-41.472,1.504
-38.836,1.512
-37.253,1.52
-38.442,1.528
-42.983,1.536
-50.608,1.544
-56.501,1.552
-50.289,1.56
-45.314,1.568
-42.929,1.576
-41.991,1.584
-42.274,1.592
-43.38,1.6
-45.695,1.608
-45.77,1.616
-42.956,1.624
-43.212,1.632
-46.434,1.64
-49.3,1.648
-51.736,1.656
-55.159,1.664
-57.78,1.672
-58.379,1.68
-56.76,1.688
-55.948,1.696
-57.107,1.704
-58.279,1.712
-58.397,1.72
-54.208,1.728
-47.332,1.736
-43.101,1.744
-42.027,1.752
-42.47,1.76
-40.825,1.768
-38.63,1.776
-38.142,1.784
-39.099,1.792
-41.613,1.8
-41.919,1.808
-36.508,1.816
-33.693,1.824
-34.818,1.832
-38.041,1.84
-33.061,1.848
-28.756,1.856
-28.764,1.864
-32.688,1.872
-39.551,1.88
-46.565,1.888
-50.128,1.896
-50.7,1.904
-46.216,1.912
-43.515,1.92
-44.302,1.928
-47.883,1.936
-52.677,1.944
-53.111,1.952
-47.991,1.96
-44.855,1.968
-45.114,1.976
-47.951,1.984
-47.338,1.992
-43.889,2
-43.406,2.008
-44.952,2.016
-45.047,2.024
-45.074,2.032
-47.434,2.04
-52.018,2.048
-54.012,2.056
-51.658,2.064
-50.63,2.072
-52.185,2.08
-55.595,2.088
-58.367,2.096
