data,date
237.681,0.454
235.665,0.464
232.552,0.474
158.638,3.544
158.354,3.554
159.072,3.564
161.631,3.574
164.895,3.584
165.273,3.594
165.744,3.604
166.929,3.614
168.62,3.624
171.101,3.634
173.823,3.644
177.695,3.654
181.085,3.664
181.401,3.674
180.304,3.684
179.805,3.694
179.243,3.704
177.612,3.714
176.571,3.724
176.033,3.734
175.75,3.744
175.003,3.754
174.207,3.764
173.942,3.774
173.728,3.784
173.35,3.794
173.096,3.804
173.242,3.814
172.735,3.824
171.177,3.834
170.934,3.844
171.288,3.854
168.908,3.864
168.317,3.874
174.046,3.884
173.043,3.894
168.257,3.904
166.909,3.914
175.762,3.954
174.352,3.964
169.301,3.974
164.687,3.984
161.972,3.994
158.741,4.004
156.558,4.014
155.393,4.024
154.712,4.034
154.53,4.044
155.321,4.054
159.474,4.064
162.7,4.074
163.094,4.084
162.776,4.094
162.335,4.104
162.276,4.114
162.019,4.124
160.13,4.134
156.59,4.144
154.569,4.154
154.313,4.164
157.67,4.174
157.331,4.184
154.635,4.194
152.014,4.204
198.035,4.354
197.884,4.364
198.282,4.374
197.901,4.384
185.306,4.394
171.051,4.404
165.794,4.414
163.254,4.424
162.241,4.434
161.556,4.444
161.218,4.454
161.066,4.464
160.941,4.474
160.766,4.484
160.273,4.494
159.485,4.504
158.843,4.514
158.708,4.524
159.015,4.534
159.477,4.544
159.83,4.554
159.738,4.564
158.904,4.574
157.467,4.584
155.779,4.594
154.015,4.604
155.185,4.614
157.56,4.624
158.222,4.634
157.458,4.644
157.044,4.654
157.343,4.664
156.812,4.674
154.959,4.684
167.628,4.694
159.05,4.704
155.755,4.714
153.278,4.724
150.205,4.734
146.27,4.744
143.951,4.754
143.244,4.764
142.853,4.774
142.371,4.784
141.795,4.794
141.462,4.804
141.198,4.814
140.99,4.824
140.883,4.834
140.881,4.844
141.186,4.854
141.252,4.864
141.135,4.874
141.101,4.884
140.87,4.894
140.282,4.904
139.826,4.914
139.891,4.924
139.819,4.934
139.124,4.944
138.144,4.954
137.34,4.964
136.995,4.974
137.248,4.984
137.56,4.994
138.012,5.004
139.477,5.014
141.678,5.024
142.725,5.034
141.137,5.044
139.894,5.054
139.718,5.064
139.875,5.074
139.454,5.084
139.086,5.094
140.314,5.104
154.906,5.604
153.207,5.614
150.993,5.624
148.889,5.634
147.765,5.644
146.731,5.654
144.768,5.664
143.848,5.674
144.574,5.684
146.781,5.694
150.629,5.704
155.059,5.714
158.838,5.724
161.462,5.734
163.553,5.744
165.667,5.754
168.667,5.764
172.77,5.774
177.484,5.784
182.403,5.794
185.388,5.804
188.155,5.814
190.804,5.824
191.017,5.834
186.452,5.844
182.289,5.854
183.807,5.864
181.579,5.874
173.803,5.884
164.674,5.894
157.23,5.904
152.882,5.914
149.158,5.924
146.268,5.934
144.971,5.944
144.402,5.954
143.574,5.964
142.378,5.974
140.889,5.984
139.218,5.994
138.048,6.004
137.686,6.014
137.902,6.024
138.279,6.034
138.4,6.044
138.228,6.054
138.082,6.064
138.111,6.074
137.908,6.084
136.624,6.094
135.157,6.104
135.748,6.114
136.413,6.124
136.452,6.134
137.726,6.144
168.505,6.184
157.354,6.194
151.627,6.204
148.715,6.214
146.858,6.224
144.95,6.234
142.436,6.244
139.095,6.254
139.085,6.264
139.592,6.274
143.529,6.284
143.149,6.294
142.407,6.304
149.809,6.374
152.093,6.384
153.117,6.394
152.557,6.404
151.324,6.414
149.88,6.424
147.928,6.434
145.616,6.444
143.307,6.454
